Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
spec06-462.libquantum-s0.trace.gz,pythia,0.49053,1993778,51767,8,476759,1
spec06-462.libquantum-s1.trace.gz,nopref,0.24532,1784918,1343123,8,441787,1
spec06-462.libquantum-s1.trace.gz,spp,0.58446,1343515,66328,8,373,1
spec06-462.libquantum-s1.trace.gz,bingo,0.64795,1784972,49205,8,441787,1
spec06-462.libquantum-s1.trace.gz,mlop,0.67005,1785044,23274,8,441787,1
spec06-462.libquantum-s1.trace.gz,pythia,0.6313,1784932,46393,8,441787,1
spec06-462.libquantum-s2.trace.gz,nopref,0.46887,2152339,1578086,8,574245,1
spec06-462.libquantum-s2.trace.gz,spp,0.69056,1661478,250317,12,44018,1
spec06-462.libquantum-s2.trace.gz,bingo,0.78116,2177926,104012,8,600071,1
spec06-462.libquantum-s2.trace.gz,mlop,0.77324,2181350,55861,8,603637,1
spec06-462.libquantum-s2.trace.gz,pythia,0.69015,2152363,90640,8,574247,1
spec06-470.lbm-s0.trace.gz,nopref,0.47428,2475671,369989,1078338,1027344,1
spec06-470.lbm-s0.trace.gz,spp,0.63536,2536831,33522,1109629,1057207,1
spec06-470.lbm-s0.trace.gz,bingo,0.65518,2470724,15025,1077839,1022903,1
spec06-470.lbm-s0.trace.gz,mlop,0.63405,2529709,17441,1107310,1052378,1
spec06-470.lbm-s0.trace.gz,pythia,0.63281,2471868,24032,1077992,1023866,1
spec06-470.lbm-s1.trace.gz,nopref,0.4513,2677636,393433,1159435,1124768,1
spec06-470.lbm-s1.trace.gz,spp,0.59979,2717435,37216,1179922,1144009,1
spec06-470.lbm-s1.trace.gz,bingo,0.613,2672584,16469,1158974,1120191,1
spec06-470.lbm-s1.trace.gz,mlop,0.59828,2709857,18636,1177151,1139231,1
spec06-470.lbm-s1.trace.gz,pythia,0.59327,2673047,25697,1158956,1120653,1
spec06-471.omnetpp-s0.trace.gz,nopref,0.4644,179907,171615,5417,2875,1
spec06-471.omnetpp-s0.trace.gz,spp,0.47422,289888,173468,5218,2428,1
spec06-471.omnetpp-s0.trace.gz,bingo,0.46261,2231572,341174,5014,4613,1
spec06-471.omnetpp-s0.trace.gz,mlop,0.46816,631858,338483,5002,4413,1
spec06-471.omnetpp-s0.trace.gz,pythia,0.47456,661057,369387,4995,1946,1
spec06-471.omnetpp-s1.trace.gz,nopref,0.23606,978838,705841,116797,156200,1
spec06-471.omnetpp-s1.trace.gz,spp,0.24687,1088875,597117,120863,100354,1
spec06-471.omnetpp-s1.trace.gz,bingo,0.27337,1617160,382547,108976,128885,1
spec06-471.omnetpp-s1.trace.gz,mlop,0.24937,1548482,576513,93472,148533,1
spec06-471.omnetpp-s1.trace.gz,pythia,0.25567,1325560,496409,106388,175139,1
spec06-471.omnetpp-s2.trace.gz,nopref,0.35404,240509,230365,7047,3097,1
spec06-471.omnetpp-s2.trace.gz,spp,0.35951,760172,282129,11829,8797,1
spec06-471.omnetpp-s2.trace.gz,bingo,0.343,4466300,413584,6878,14943,1
spec06-471.omnetpp-s2.trace.gz,mlop,0.35467,824372,383947,12118,10953,1
spec06-471.omnetpp-s2.trace.gz,pythia,0.3629,849777,416787,8691,8271,1
spec06-473.astar-s0.trace.gz,nopref,0.49975,99122,52648,16004,30470,1
spec06-473.astar-s0.trace.gz,spp,0.50685,91569,36082,14457,12796,1
spec06-473.astar-s0.trace.gz,bingo,0.51086,204116,27088,23398,19159,1
spec06-473.astar-s0.trace.gz,mlop,0.50597,301288,36268,17804,18571,1
spec06-473.astar-s0.trace.gz,pythia,0.50791,125241,32337,19797,24631,1
spec06-473.astar-s1.trace.gz,nopref,0.21195,120319,118271,105,1943,1
spec06-473.astar-s1.trace.gz,spp,0.21767,145749,81704,80,2231,1
spec06-473.astar-s1.trace.gz,bingo,0.2236,256376,43970,93,3309,1
spec06-473.astar-s1.trace.gz,mlop,0.22046,211312,63037,85,3654,1
spec06-473.astar-s1.trace.gz,pythia,0.21912,146230,75028,50,1513,1
spec06-473.astar-s2.trace.gz,nopref,0.11372,2956205,1103880,787934,1064391,1
spec06-473.astar-s2.trace.gz,spp,0.11458,3334052,979074,903552,1101111,1
spec06-473.astar-s2.trace.gz,bingo,0.1277,5975495,659368,974731,1252891,1
spec06-473.astar-s2.trace.gz,mlop,0.12461,4118767,721597,950554,1312785,1
spec06-473.astar-s2.trace.gz,pythia,0.12727,3747576,691781,904133,1124545,1
spec06-482.sphinx3-s0.trace.gz,nopref,0.80591,267402,265706,1070,626,1
spec06-482.sphinx3-s0.trace.gz,spp,1.01918,603103,97685,39383,31080,1
spec06-482.sphinx3-s0.trace.gz,bingo,1.18121,422831,37074,2061,1529,1
spec06-482.sphinx3-s0.trace.gz,mlop,0.93819,345338,140491,16785,7424,1
spec06-482.sphinx3-s0.trace.gz,pythia,1.22768,393039,30134,1523,1032,1
spec06-482.sphinx3-s1.trace.gz,nopref,0.97222,171916,169295,2200,421,1
spec06-482.sphinx3-s1.trace.gz,spp,1.26691,362510,36537,35948,5062,1
spec06-482.sphinx3-s1.trace.gz,bingo,1.43569,262649,11402,1950,545,1
spec06-482.sphinx3-s1.trace.gz,mlop,1.08433,160167,94431,7535,1344,1
